pos_x,pos_y,pos_z,orn1_x,orn1_y,orn1_z,orn2_x,orn2_y,orn2_z,orn3_x,orn3_y,orn3_z,action1,action2,action3,action4
-0.29076278,-0.73120147,0.6316068,0.85915136,0.1197128,0.49752164,-0.16359714,0.98548275,0.045384582,-0.48486584,-0.12038534,0.8662635,-0.3564603,-0.18413824,2.0522468,-0.11340466
-0.29163322,-0.7313799,0.63180023,0.88667125,0.12543216,0.44506282,-0.15827243,0.98669314,0.037236452,-0.43446976,-0.10345766,0.89472485,0.18888606,-0.36360842,1.9088674,-0.1571214
-0.29406515,-0.73177004,0.6322779,0.9311771,0.13024765,0.34050673,-0.14166935,0.9898751,0.008782059,-0.33591527,-0.05641702,0.94020104,0.83569753,-0.41598442,1.6828206,-0.03207439
-0.2981252,-0.73228055,0.6339791,0.9672691,0.12712516,0.21961251,-0.121971495,0.99184656,-0.036925867,-0.22251609,0.008930784,0.97488815,0.5904416,-0.6286714,1.6180481,0.063435934
-0.30341348,-0.7326077,0.63730395,0.9884573,0.11703485,0.096202575,-0.10706981,0.98890847,-0.10293708,-0.10718276,0.09144852,0.99002475,-0.18201214,-0.76204777,1.569539,0.04995422
-0.30918714,-0.7323989,0.64115095,0.9947288,0.09856503,-0.028276887,-0.10216665,0.97620934,-0.19125207,0.008753396,0.19313289,0.9811336,-0.74486256,-0.433826,1.3244977,0.017148478
-0.3148723,-0.73161644,0.6444295,0.98585874,0.06865194,-0.15287076,-0.107854895,0.95812136,-0.2652751,0.12825708,0.27801162,0.9519767,-0.5599613,0.051600084,1.0125271,0.0024781357
-0.3200169,-0.730168,0.6470099,0.9619892,0.03140659,-0.27127546,-0.114087135,0.94874483,-0.2947327,0.24811465,0.31447873,0.91626537,-0.17105988,0.34694487,0.6607367,0.0751728
-0.3241904,-0.7278522,0.6492718,0.9302455,0.00045583668,-0.36693743,-0.10991987,0.95442295,-0.2774789,0.35008702,0.29845724,0.88789773,0.115954965,0.44823357,0.3979087,0.29557464
-0.32700628,-0.7245288,0.65141517,0.900534,-0.013915853,-0.43456292,-0.09960245,0.96630514,-0.23734733,0.42322326,0.25702286,0.8688046,0.1255885,0.46638915,0.08708136,0.3277389
-0.32819545,-0.7202689,0.65352833,0.88202226,-0.008938492,-0.47112295,-0.089066796,0.9786344,-0.18531555,0.46271357,0.20541385,0.8623812,-0.09363946,0.35291287,-0.13228588,0.2827125
-0.32770923,-0.7152502,0.65541923,0.87927324,0.011004959,-0.47619063,-0.083245575,0.9878971,-0.13088003,0.468987,0.15472007,0.86954755,-0.3714665,0.23644611,-0.22513612,0.2063026
-0.32567698,-0.7096562,0.65660244,0.8864309,0.037170727,-0.46136597,-0.08611827,0.99261034,-0.08548929,0.45477894,0.11551239,0.88308156,-0.40360984,0.19270828,-0.32928407,0.1571011
-0.32221556,-0.7036565,0.6568583,0.8991324,0.0644152,-0.43291068,-0.09467012,0.994318,-0.04867465,0.42731553,0.08474866,0.9001217,-0.26705453,0.15935051,-0.31298175,0.13866863
-0.31730035,-0.6973533,0.65638113,0.9134694,0.090453364,-0.39672646,-0.10639608,0.99415517,-0.018312067,0.3927513,0.058937654,0.9177542,-0.11779359,0.15315536,-0.2657665,0.13542977
-0.31084135,-0.69083655,0.65557325,0.92517054,0.11434049,-0.3619195,-0.11920739,0.9928292,0.008934069,0.36034575,0.034877937,0.9321666,-0.10920724,0.1475052,-0.21654016,0.14556387
-0.30288622,-0.684202,0.6546765,0.9335876,0.13652015,-0.33132523,-0.13264766,0.9905665,0.03438939,0.3328945,0.011844002,0.9428897,-0.21104264,0.12872057,-0.1891201,0.16736814
-0.29360387,-0.6775432,0.65363914,0.9394367,0.15790114,-0.30418077,-0.14738283,0.98741317,0.057389647,0.309414,-0.009082916,0.95088404,-0.29423454,0.10562158,-0.19752665,0.18668452
-0.28317928,-0.6709495,0.6523046,0.9436672,0.17928994,-0.27811405,-0.16380095,0.9833919,0.07816465,0.28750923,-0.02820607,0.9573625,-0.29208204,0.0763734,-0.21217933,0.19534807
-0.2717585,-0.6644862,0.65059376,0.9471111,0.20096108,-0.25019023,-0.1824696,0.9785839,0.09528063,0.26397982,-0.04458923,0.963497,-0.2458699,0.04435651,-0.21152669,0.19695377
-0.25941774,-0.6582129,0.6485776,0.9494926,0.22288577,-0.22087494,-0.20324573,0.97312284,0.108273536,0.23907107,-0.05791304,0.9692735,-0.22026476,0.016319878,-0.19653985,0.19621848
-0.2462195,-0.6521821,0.6463632,0.9502756,0.24505992,-0.1921507,-0.22569346,0.9671163,0.117254086,0.21456634,-0.068056546,0.9743355,-0.22838327,-0.017617486,-0.17379,0.20123321
-0.23225453,-0.6464263,0.6439893,0.9493461,0.2675464,-0.16480553,-0.24966316,0.960689,0.12142864,0.19081466,-0.074131936,0.9788229,-0.24042067,-0.048554495,-0.15029906,0.20773503
-0.21761012,-0.6409674,0.64146787,0.9465132,0.29057524,-0.14028123,-0.2748556,0.95381683,0.12119302,0.1690183,-0.07615371,0.9826665,-0.2389526,-0.078057885,-0.12522794,0.20858812
-0.2023764,-0.6358114,0.6388054,0.9419129,0.31419635,-0.118662424,-0.30103454,0.9464663,0.11653197,0.1489239,-0.07404148,0.9860728,-0.23089334,-0.1102159,-0.10773623,0.20511861
-0.18663669,-0.6309483,0.6360226,0.9357903,0.33822438,-0.09950247,-0.3278243,0.9386134,0.10740583,0.12972163,-0.06789,0.98922354,-0.22052106,-0.12824813,-0.08098869,0.19302025
-0.17045511,-0.6263554,0.6331647,0.9282479,0.36239636,-0.08381345,-0.35461834,0.9302104,0.09462816,0.11225705,-0.058116604,0.9919782,-0.21910629,-0.14189184,-0.057858244,0.1772531
-0.15389943,-0.6219981,0.63026094,0.91964877,0.38622153,-0.071267925,-0.3807576,0.92126924,0.079288706,0.09627995,-0.045781948,0.99430084,-0.22368374,-0.14977379,-0.043148406,0.16125107
-0.13703242,-0.61782706,0.62732387,0.9103321,0.4092542,-0.06169727,-0.40573537,0.9118749,0.06215336,0.08169671,-0.031547435,0.9961578,-0.22717234,-0.1474956,-0.020329565,0.14264189
-0.11990796,-0.61378646,0.6243636,0.9005995,0.4311098,-0.055361852,-0.42913648,0.90215635,0.044224,0.069010444,-0.016070321,0.9974865,-0.23223892,-0.14600001,-0.019992724,0.12648824
-0.10258554,-0.6098204,0.6213737,0.8908525,0.4514614,-0.050640024,-0.45069262,0.8922904,0.02634349,0.057078674,-0.0006450818,0.99836946,-0.2334294,-0.13865943,-0.013001755,0.11184606
-0.08511288,-0.6058668,0.6183528,0.88130057,0.47017166,-0.0474124,-0.47031897,0.8824536,0.008696019,0.045927864,0.014635146,0.99883753,-0.23249647,-0.12857863,-0.007827789,0.09843868
-0.06753466,-0.6018694,0.6153066,0.8721289,0.48718035,-0.04523816,-0.4879793,0.8728188,-0.007972674,0.035600588,0.029028485,0.9989444,-0.2299796,-0.11910673,-0.01691246,0.086731866
