pos_x,pos_y,pos_z,orn1_x,orn1_y,orn1_z,orn2_x,orn2_y,orn2_z,orn3_x,orn3_y,orn3_z,action1,action2,action3,action4
-0.723894,-0.7389399,0.3227588,0.8667689,0.39953265,-0.29847178,-0.48795006,0.8030652,-0.34203973,0.103036255,0.4421087,0.8910238,1.885174,0.704558,0.017695338,0.009476764
-0.7235474,-0.737643,0.32329977,0.86670816,0.3995528,-0.2986209,-0.48487252,0.8153857,-0.31629854,0.11711323,0.41893163,0.90043366,1.8603488,0.81115043,0.1315829,-0.0032143611
-0.7224591,-0.73401934,0.3251908,0.86580753,0.39861885,-0.30245718,-0.47587824,0.84278446,-0.251504,0.15465198,0.36168686,0.91938317,1.5945338,0.7729254,0.11781584,-0.11647059
-0.7204383,-0.7283654,0.32853198,0.8654332,0.39754236,-0.30493504,-0.46097523,0.870233,-0.17377082,0.19628328,0.29095456,0.93638575,1.4061201,0.73730564,0.09295277,-0.25612715
-0.7173161,-0.721142,0.33312798,0.8674047,0.39427644,-0.30357063,-0.43983153,0.8928076,-0.09717313,0.23271711,0.21780838,0.9478408,1.3097259,0.65322506,0.08881651,-0.33805284
-0.7129535,-0.7127936,0.33877742,0.8717124,0.38611174,-0.30172053,-0.41258913,0.910522,-0.026832193,0.26436296,0.14787656,0.9530188,1.2029519,0.5536107,0.08000378,-0.37483662
-0.70721036,-0.70368636,0.34542453,0.8775116,0.37215802,-0.30244303,-0.3807061,0.92412287,0.03255392,0.2916097,0.086575456,0.9526114,1.0475572,0.4670892,-0.087457106,-0.36529973
-0.69993114,-0.69415903,0.3531584,0.8858279,0.35323063,-0.30089372,-0.34289676,0.9352054,0.08838894,0.31261912,0.024878094,0.9495527,0.7282772,0.32203338,-0.4368285,-0.31048542
-0.6911312,-0.68455654,0.3617581,0.9013308,0.32992518,-0.2806281,-0.30183882,0.94312125,0.13934031,0.3106382,-0.04088725,0.94964844,0.3122925,0.18821362,-0.70602167,-0.27808586
-0.68108666,-0.6751454,0.37058285,0.9275918,0.2992351,-0.2236779,-0.26493075,0.94900167,0.17090201,0.2634106,-0.09926815,0.9595628,-0.12887868,0.07066077,-0.69907975,-0.22515228
-0.6700923,-0.6660948,0.379139,0.954264,0.26106665,-0.14568603,-0.23359613,0.9552165,0.18164274,0.18658258,-0.13930345,0.97251296,-0.35024127,0.024457484,-0.3615138,-0.09774344
-0.65841633,-0.6575519,0.38722184,0.9709118,0.22431338,-0.08374839,-0.20629773,0.96123546,0.18294166,0.12153819,-0.16034311,0.9795502,-0.32103458,0.07463601,-0.032534763,0.050518915
-0.64628214,-0.6496607,0.39495382,0.9784666,0.19807816,-0.05803649,-0.18456176,0.965509,0.18365562,0.09241292,-0.16898957,0.9812759,-0.23338065,0.14211532,0.10665564,0.11472136
-0.6338299,-0.6425206,0.40247747,0.98114705,0.18388104,-0.059483092,-0.16949889,0.9665973,0.1922494,0.09284721,-0.17854261,0.9795417,-0.16174689,0.14230293,0.11092572,0.10591571
-0.6210968,-0.6361612,0.40976828,0.9813457,0.1784902,-0.07142721,-0.16044304,0.96504736,0.20722371,0.10591805,-0.19189811,0.97568256,-0.12308639,0.072661996,0.0543855,0.08446223
-0.6080616,-0.63058376,0.41672713,0.98067105,0.17776865,-0.08174749,-0.1562013,0.96289575,0.2200749,0.11783672,-0.20305201,0.9720516,-0.104662746,-0.0017850399,-0.0227146,0.07282182
-0.5946949,-0.62579024,0.42329192,0.98030084,0.17866379,-0.08419886,-0.15595557,0.96177787,0.2250803,0.12119431,-0.20751514,0.9706953,-0.1227577,-0.061100863,-0.06456636,0.06784385
-0.58098173,-0.6217814,0.42945278,0.98046297,0.18011223,-0.07906931,-0.15880875,0.96200144,0.22211047,0.11606959,-0.20521419,0.97181016,-0.14526942,-0.0982302,-0.06359202,0.07672004
-0.5669292,-0.61854523,0.43521786,0.9806283,0.18264864,-0.07076416,-0.16402914,0.9631849,0.21300054,0.107063234,-0.19726697,0.9744861,-0.15254113,-0.11801789,-0.037675455,0.094917774
-0.55256003,-0.6160579,0.44061658,0.98028976,0.18716222,-0.063264124,-0.17124967,0.96465147,0.20030291,0.09851697,-0.18552092,0.9776893,-0.14204139,-0.1286149,-0.01531668,0.115849674
-0.53790236,-0.6142827,0.44568887,0.9792466,0.19415613,-0.05813369,-0.18048844,0.9658981,0.18564688,0.09219569,-0.1713016,0.98089534,-0.12892511,-0.13890262,0.0004452616,0.12808692
-0.52298063,-0.6131697,0.45047072,0.977513,0.20356768,-0.055032022,-0.19178449,0.9667146,0.1693564,0.08767574,-0.1549938,0.9840172,-0.115974665,-0.14597088,0.006017044,0.13487732
-0.50781065,-0.61266035,0.45500004,0.9751565,0.21502095,-0.053251974,-0.20487034,0.96685696,0.15236726,0.08424919,-0.13767219,0.9868883,-0.109790474,-0.15152708,0.00923951,0.13606757
-0.4924062,-0.61268544,0.45929822,0.97226053,0.22804293,-0.052018326,-0.21945912,0.9663204,0.13439703,0.08091466,-0.11925303,0.98956126,-0.11315492,-0.15701327,0.01654695,0.13514294
-0.4767776,-0.6131716,0.46338093,0.9688431,0.24224766,-0.051567156,-0.23514286,0.96505255,0.11567812,0.077787764,-0.099948294,0.9919473,-0.116371244,-0.15799756,0.023359582,0.13571027
-0.46093485,-0.61404294,0.46725845,0.9649084,0.25733572,-0.052250188,-0.25157413,0.9629765,0.096885,0.075247675,-0.080340356,0.9939231,-0.11971405,-0.15980162,0.029005066,0.13612628
-0.44488925,-0.6152197,0.47092727,0.960495,0.27304357,-0.053820338,-0.268596,0.96012896,0.07751546,0.07283956,-0.059997283,0.9955374,-0.11885467,-0.15762195,0.033426955,0.13636805
-0.42864847,-0.6166254,0.4743994,0.95561355,0.2891711,-0.056416176,-0.2859712,0.9564511,0.05849503,0.070874386,-0.039765246,0.9966923,-0.113579184,-0.15213463,0.034782737,0.13527858
-0.4122204,-0.61818224,0.4776849,0.9503111,0.30552715,-0.05968198,-0.30354923,0.9519752,0.04001318,0.06904088,-0.019908547,0.9974152,-0.11000061,-0.14698543,0.034488842,0.13264677
-0.39561242,-0.6198134,0.48079297,0.94464713,0.32192892,-0.06327351,-0.32117796,0.94676375,0.021980664,0.06698128,-0.0004419148,0.99775416,-0.10380587,-0.1361236,0.032529935,0.12928072
-0.37883058,-0.6214454,0.48374292,0.9386715,0.3382078,-0.0671662,-0.33862296,0.9409064,0.0054517556,0.06504094,0.01762661,0.9977269,-0.09986386,-0.12544082,0.029050037,0.12487356
-0.36188322,-0.62300766,0.48653957,0.9324619,0.3542362,-0.07093308,-0.35577533,0.93451846,-0.00996327,0.062758915,0.03452661,0.99743134,-0.09837857,-0.113614865,0.025893226,0.12022962
-0.3447781,-0.6244357,0.4891918,0.92607564,0.36989275,-0.07458732,-0.37247437,0.9277368,-0.023815323,0.06038829,0.049836658,0.99693006,-0.09387627,-0.09914307,0.021015763,0.115336
-0.32752421,-0.625671,0.49170595,0.9195751,0.38509798,-0.07798201,-0.3886068,0.9207088,-0.035777703,0.0580208,0.063204624,0.99631256,-0.09305608,-0.087277785,0.016995907,0.11028464
-0.3101316,-0.62666154,0.49408135,0.9130187,0.39979944,-0.08097684,-0.4041308,0.9135274,-0.0463245,0.055454053,0.075020365,0.9956389,-0.09004912,-0.07396226,0.011679158,0.10556568
