pos_x,pos_y,pos_z,orn1_x,orn1_y,orn1_z,orn2_x,orn2_y,orn2_z,orn3_x,orn3_y,orn3_z,action1,action2,action3,action4
-0.6095319,-0.45559868,0.28160447,0.9306087,0.09392885,0.35375816,-0.07858944,0.9952466,-0.057514876,-0.35747892,0.02572219,0.9335669,1.3925881,0.24069774,1.3598087,0.10713798
-0.6105975,-0.45550826,0.2819625,0.94064784,0.09384127,0.3261526,-0.08309352,0.995444,-0.04676336,-0.32905498,0.016886685,0.94415975,1.6520596,0.28136906,1.2974048,0.08669442
-0.6135642,-0.4553097,0.28359774,0.96171016,0.0956887,0.2568215,-0.09384806,0.9953966,-0.019443799,-0.2574998,-0.0054028993,0.96626323,1.4533664,0.123333886,1.2714627,-0.039272532
-0.6180365,-0.45517334,0.28700188,0.98213124,0.098707765,0.16023421,-0.10058131,0.9949224,0.0036040023,-0.15906486,-0.01965617,0.98707247,0.94899225,-0.12323104,1.3283787,-0.09699287
-0.62339336,-0.45519876,0.29239643,0.9939752,0.09998524,0.04490276,-0.10040341,0.9949212,0.00715036,-0.043959778,-0.01161567,0.9989658,0.43061113,-0.24576537,1.4530935,-0.16427304
-0.628892,-0.45530248,0.29935077,0.99223554,0.095414385,-0.07977945,-0.096496545,0.995285,-0.00981206,0.07846708,0.017434316,0.99676424,0.3029174,-0.13114844,1.3851004,-0.26948288
-0.6338715,-0.45525643,0.3072651,0.9752999,0.08074027,-0.2055994,-0.08932097,0.99546313,-0.032785945,0.20201948,0.05034047,0.9780869,0.45137736,0.07286525,1.0211253,-0.3681627
-0.63774484,-0.4548614,0.31584242,0.9452352,0.05617851,-0.32151884,-0.07591705,0.9959007,-0.049176753,0.3174382,0.070892364,0.9456253,0.5442622,0.20797727,0.28972948,-0.41373566
-0.6399721,-0.45399755,0.32480276,0.91294914,0.026454536,-0.40721497,-0.04826675,0.9978919,-0.043383278,0.40520886,0.05926167,0.9123014,0.6916361,0.24264443,-0.21314453,-0.32501426
-0.64019907,-0.4527804,0.33382058,0.8961343,-0.002572778,-0.44377548,-0.007248288,0.999765,-0.020432884,0.44372374,0.021527221,0.895905,0.8357539,0.2213054,-0.5731033,-0.24902512
-0.6382124,-0.45144936,0.34296924,0.9012933,-0.030662455,-0.43212295,0.037438445,0.9992732,0.007180483,0.4315887,-0.022649733,0.9017861,0.8118385,0.11176276,-0.8325608,-0.23274362
-0.6339753,-0.450257,0.3525256,0.92384166,-0.060320053,-0.37799215,0.07738611,0.99654645,0.030108506,0.37487057,-0.05706683,0.9253191,0.4595708,-0.013456821,-0.94724643,-0.24112251
