pos_x,pos_y,pos_z,orn1_x,orn1_y,orn1_z,orn2_x,orn2_y,orn2_z,orn3_x,orn3_y,orn3_z,action1,action2,action3,action4
-0.7375215,-0.6831788,0.42986435,0.9500262,-0.1872653,-0.24976367,0.26773125,0.90021414,0.34341592,0.16053091,-0.39312366,0.9053638,1.4841107,-0.9655167,0.37505925,0.021544559
-0.7370615,-0.6841011,0.43000448,0.9479503,-0.18453825,-0.25949156,0.2632814,0.9126018,0.31279534,0.17908975,-0.3648337,0.91368663,1.7646177,-1.0478225,0.19477443,0.107681125
-0.7356638,-0.686661,0.43078062,0.94491374,-0.18143651,-0.2724312,0.24856396,0.93927926,0.23658067,0.2129646,-0.29126492,0.9326365,1.6621481,-0.9498689,0.10343163,0.086281836
-0.73314273,-0.6906115,0.43253243,0.9435863,-0.18005265,-0.2778955,0.22532822,0.9641084,0.1404353,0.24263567,-0.19513053,0.9502905,1.5873048,-0.78439844,0.04663481,0.042514384
-0.7293218,-0.6955002,0.43539992,0.94208694,-0.17806822,-0.2841899,0.19764256,0.97939473,0.041512374,0.27094206,-0.09527629,0.9578689,1.4530255,-0.5879835,-0.10441615,-0.0024761278
-0.7240986,-0.70083606,0.43940178,0.9415106,-0.17714487,-0.28666618,0.17052305,0.9841783,-0.04811475,0.2906539,-0.003582643,0.95682156,1.2192283,-0.385575,-0.37444293,0.04431212
-0.71747386,-0.70616317,0.44438368,0.94522643,-0.17708714,-0.27420264,0.14858896,0.98139465,-0.12159683,0.29063427,0.07419306,0.95395344,0.90354013,-0.23696962,-0.60293865,0.1675034
-0.7095403,-0.7110865,0.45006412,0.954378,-0.1733865,-0.24310444,0.13016415,0.97429144,-0.1838847,0.26873767,0.14385203,0.952411,0.6084086,-0.0802916,-0.63616496,0.27566683
-0.7005223,-0.7153631,0.455932,0.9665279,-0.16156532,-0.1993001,0.114341944,0.9666589,-0.2291212,0.22967324,0.19866365,0.95277643,0.3406353,0.09553613,-0.40972173,0.35778967
-0.6906416,-0.7188831,0.4615521,0.97743446,-0.14122464,-0.15709072,0.09926063,0.96351033,-0.2485865,0.18646505,0.22738409,0.9557862,0.06437801,0.2203326,0.061634615,0.4031128
-0.68002576,-0.72161615,0.46670178,0.9834423,-0.11688884,-0.1384854,0.081359774,0.96761745,-0.2389497,0.16193146,0.22372611,0.96110606,-0.13490829,0.3085183,0.35073245,0.37117466
-0.6687667,-0.7236172,0.471129,0.9833269,-0.09310078,-0.1562064,0.059200235,0.9761009,-0.20909882,0.17194048,0.19636503,0.9653379,-0.08893609,0.31712493,0.24638961,0.32048404
-0.65692466,-0.7249704,0.47475973,0.9791872,-0.067474455,-0.19141498,0.03526414,0.98533624,-0.16694008,0.19987231,0.15671548,0.967208,0.093414575,0.25936145,0.02926983,0.25594482
-0.64444286,-0.72572637,0.47795016,0.97589177,-0.03716098,-0.21506819,0.010891233,0.99246246,-0.122064605,0.21798313,0.116779484,0.9689406,0.22959629,0.17216302,-0.14105423,0.1889059
-0.6312139,-0.72597027,0.4811034,0.9761658,-0.0045462367,-0.21697858,-0.014298177,0.99626124,-0.08520026,0.2165547,0.08627197,0.97245115,0.22691077,0.10318917,-0.24497823,0.1387213
-0.61722356,-0.72583145,0.48435947,0.9795364,0.027129237,-0.19943018,-0.039436366,0.9975373,-0.05799989,0.19736557,0.06467781,0.97819406,0.11179742,0.06586923,-0.23755424,0.12777297
