pos_x,pos_y,pos_z,orn1_x,orn1_y,orn1_z,orn2_x,orn2_y,orn2_z,orn3_x,orn3_y,orn3_z,action1,action2,action3,action4
-0.77454674,-0.3687272,0.50140184,0.86486965,0.47726265,0.1556306,-0.44132394,0.8706239,-0.21736437,-0.2392356,0.11930833,0.96360356,1.2360895,0.5770323,1.2927939,0.3265634
-0.77536803,-0.36840302,0.5017842,0.86993355,0.47669792,0.12639107,-0.45012888,0.87220305,-0.19143109,-0.20149347,0.10964006,0.9733342,1.7428968,0.77563024,1.369721,0.17293733
-0.7774219,-0.36754575,0.5032434,0.876713,0.47798166,0.053925082,-0.46905342,0.87436837,-0.124373496,-0.10659864,0.08374612,0.990769,1.9596488,0.74598825,1.3140475,-0.044471003
-0.77994716,-0.36635152,0.50573504,0.8761401,0.4801094,-0.04328336,-0.48183987,0.8749008,-0.04877416,0.014451717,0.06358865,0.9978716,1.8156137,0.74209726,1.117899,-0.18953612
-0.78219444,-0.36488256,0.5089206,0.86523783,0.48013914,-0.14432599,-0.48231673,0.8757248,0.021833006,0.13687272,0.050720096,0.9892893,1.6109006,0.71646035,0.85012275,-0.34531495
-0.78360957,-0.36312678,0.5124257,0.8466837,0.47596738,-0.2378694,-0.46847934,0.8787868,0.09089038,0.2522973,0.034481492,0.96703523,1.4846816,0.67127526,0.5971832,-0.36424455
-0.78372085,-0.3611291,0.5160441,0.8240541,0.46765435,-0.31974095,-0.43922305,0.8838756,0.16076991,0.35779595,0.0079544755,0.9337659,1.3548443,0.5745244,0.33334947,-0.3583382
-0.78206164,-0.35900518,0.51971555,0.8017537,0.4565043,-0.38573936,-0.39364007,0.8890046,0.2339196,0.44970936,-0.03570342,0.89246106,1.2687674,0.34994185,-0.041313514,-0.34559235
-0.77829987,-0.3570016,0.52314365,0.7845611,0.44345585,-0.43337142,-0.337402,0.8917214,0.3016503,0.52021515,-0.0904427,0.8492328,1.2817005,0.032932222,-0.58327097,-0.30233797
-0.7723942,-0.35536417,0.52566713,0.78530073,0.42757902,-0.44774875,-0.28439748,0.89152515,0.35256356,0.549928,-0.14952981,0.82171774,1.4448693,-0.2672,-1.100677,-0.31739074
-0.7644573,-0.35428008,0.52686304,0.81123745,0.4043949,-0.4223252,-0.24580318,0.8912107,0.38121408,0.5305418,-0.20544626,0.8223851,1.5823636,-0.49085394,-1.3580391,-0.33031577
-0.75456095,-0.3539901,0.52682745,0.8510746,0.37231708,-0.37020534,-0.22685087,0.8966368,0.38023812,0.47350892,-0.23962958,0.8475653,1.661763,-0.55472636,-1.3683133,-0.33714816
-0.74273294,-0.35468972,0.5260367,0.8927729,0.33336055,-0.30303004,-0.21913117,0.90904206,0.35443476,0.39362165,-0.25002643,0.88461787,1.6641654,-0.5152381,-1.0943087,-0.31102648
-0.7291117,-0.35648125,0.52501595,0.9309694,0.28908825,-0.22298858,-0.2122692,0.92551136,0.31364083,0.2970483,-0.24465641,0.9229873,1.5227389,-0.4320458,-0.73638415,-0.2520858
-0.71399695,-0.3594569,0.52435845,0.960405,0.2429025,-0.13645728,-0.20128854,0.94358164,0.26293817,0.19262695,-0.22505987,0.95511407,1.2219114,-0.275719,-0.3900236,-0.19533947
-0.6979172,-0.3636239,0.5245187,0.97753394,0.20190078,-0.06052621,-0.185482,0.9603869,0.20797454,0.1001188,-0.19207565,0.97625977,0.82988775,-0.14162192,-0.05897952,-0.1581886
-0.68146974,-0.36878935,0.5256298,0.9853394,0.17024055,-0.011154227,-0.16622864,0.97272056,0.1618108,0.0383967,-0.1575844,0.98675877,0.51890254,-0.056463346,0.11807121,-0.09898467
