pos_x,pos_y,pos_z,orn1_x,orn1_y,orn1_z,orn2_x,orn2_y,orn2_z,orn3_x,orn3_y,orn3_z,action1,action2,action3,action4
-0.36002815,-0.40237373,0.42072165,0.7771773,-0.41746745,0.4708677,0.38675758,0.9071348,0.16590661,-0.49640107,0.053172786,0.8664633,0.3315645,0.104308814,1.8511565,0.08929834
-0.36091867,-0.40242478,0.42054793,0.7986206,-0.41869453,0.43231934,0.38218418,0.9077264,0.17311265,-0.46490902,0.026974287,0.8849475,0.9481597,-0.0011996925,1.7902699,-0.13155544
-0.3637785,-0.4024403,0.4209138,0.8391397,-0.4194173,0.34631443,0.38191885,0.90769094,0.17388242,-0.3872758,-0.013647618,0.9218629,1.0026275,-0.14867103,1.6919811,-0.14569658
-0.3686417,-0.4024744,0.42257708,0.876803,-0.4182432,0.23725343,0.3900648,0.90718365,0.15769386,-0.28118682,-0.045722242,0.9585632,0.65737355,-0.40487924,1.6974854,-0.115490824
-0.37492174,-0.40267172,0.4255695,0.9023354,-0.41547295,0.11477372,0.40214816,0.9073078,0.12275757,-0.15513754,-0.06461247,0.9857777,0.32294026,-0.6724602,1.6848061,0.045951195
-0.38183945,-0.40301836,0.429573,0.9114385,-0.41123912,-0.012736511,0.4112801,0.9098029,0.055743728,-0.011336286,-0.056045253,0.99836385,0.19796768,-0.6647619,1.5742326,0.19656642
-0.38866487,-0.403544,0.4340601,0.90334076,-0.40435943,-0.1430696,0.40512684,0.9139173,-0.025047224,0.14088187,-0.035335157,0.9893956,0.25117365,-0.38698673,1.2982697,0.13487549
-0.39486212,-0.40429083,0.43877405,0.87872803,-0.3950921,-0.26784202,0.38592714,0.9182827,-0.08841492,0.28088674,-0.025674846,0.95939744,0.32326812,-0.07354736,0.8656758,0.09258801
-0.39993426,-0.4053285,0.44363305,0.84104836,-0.3831638,-0.38186795,0.36834943,0.92261326,-0.11446972,0.3961771,-0.044386283,0.9171006,0.5440546,0.14444947,0.31763756,0.091713354
-0.40341315,-0.40663087,0.44878563,0.8055134,-0.36984962,-0.4629897,0.35909048,0.92617714,-0.115108535,0.47138327,-0.07353371,0.87885755,0.83654916,0.17025244,-0.28549284,0.047591627
-0.40493026,-0.4082488,0.45438066,0.79083663,-0.359184,-0.49554443,0.35852405,0.92809075,-0.10053867,0.4960221,-0.09815495,0.8627443,1.0643078,0.030124664,-0.70522404,0.041229486
-0.40422347,-0.41025355,0.46052176,0.80099595,-0.3532765,-0.48332316,0.3601296,0.92925686,-0.08239254,0.47823864,-0.10806287,0.8715562,1.0267179,-0.12831175,-0.9748399,0.04092312
-0.4012585,-0.41266066,0.46737576,0.83172446,-0.3511557,-0.43002802,0.35701475,0.93146366,-0.070113726,0.42517632,-0.09521106,0.90008885,0.5776305,-0.19735631,-1.0251703,0.07383555
-0.39626837,-0.4153686,0.47505742,0.8729493,-0.34935722,-0.34045413,0.3460739,0.9354015,-0.07250407,0.34379116,-0.054529916,0.93746156,-0.1701588,-0.016053498,-0.7261152,0.17803451
-0.38986713,-0.41826725,0.4828269,0.90870583,-0.3421708,-0.23910843,0.33319455,0.93959934,-0.078322686,0.25146586,-0.00849735,0.96782887,-0.6585854,0.17352933,0.00036220253,0.35719687
-0.3824561,-0.42134163,0.4896542,0.9277662,-0.3278575,-0.17821167,0.31959245,0.9446537,-0.074095614,0.19264111,0.011788292,0.9811985,-0.8114785,0.28840384,0.48046148,0.49456903
-0.3741738,-0.42454687,0.49524385,0.9352442,-0.30772755,-0.17499168,0.30172575,0.9514666,-0.060604163,0.18514831,0.0038801923,0.9827029,-0.65171266,0.3565922,0.48428947,0.52715856
-0.36516404,-0.42788956,0.49957734,0.9365407,-0.28015137,-0.21072891,0.28009385,0.95948,-0.03075205,0.21080539,-0.03022332,0.97706074,-0.31649622,0.28936186,0.2701255,0.48131302
-0.35548386,-0.43137622,0.5029872,0.93653727,-0.24430451,-0.2514226,0.25554445,0.966716,0.012543891,0.23998971,-0.075997464,0.96779615,0.077176616,0.10161197,-0.031901613,0.39312977
-0.34500265,-0.43503132,0.50619435,0.94048536,-0.20431598,-0.2715553,0.22537966,0.9730662,0.048436914,0.25434488,-0.10675725,0.9612032,0.24037077,-0.11160259,-0.3448126,0.28124294
-0.33362594,-0.43894085,0.5097671,0.9520163,-0.166342,-0.2568956,0.18825626,0.9800954,0.06302951,0.24129772,-0.108367324,0.96438164,0.08272514,-0.18430929,-0.4822737,0.17951646
-0.3214241,-0.44315094,0.5137284,0.96816224,-0.13301481,-0.21205892,0.1481151,0.9873309,0.056917258,0.2018015,-0.086514264,0.975598,-0.2146757,-0.104740456,-0.2606368,0.152492
-0.30855003,-0.44767416,0.5175029,0.98106414,-0.10203887,-0.16462438,0.11133174,0.9926126,0.048221923,0.15848772,-0.065636724,0.98517686,-0.43052474,-0.07875624,0.039056078,0.21150589
-0.29508245,-0.4524458,0.52055675,0.9874111,-0.07095489,-0.14136744,0.077786736,0.99602515,0.04339496,0.13772643,-0.05384518,0.9890056,-0.42151698,-0.07618263,0.15146552,0.29281908
-0.28109744,-0.45737416,0.52273786,0.98909664,-0.03837005,-0.14218132,0.044292487,0.9982677,0.03872496,0.14044915,-0.044600293,0.9890828,-0.20881799,-0.10521101,0.06960039,0.3457181
-0.26664993,-0.46241015,0.5242825,0.9885132,-0.0037035006,-0.15108947,0.008779094,0.9994188,0.032940097,0.15087967,-0.033888146,0.9879711,0.013872832,-0.17372634,-0.045948237,0.33307263
-0.2517385,-0.4674988,0.5256475,0.98762476,0.032663826,-0.15339606,-0.0296548,0.99932104,0.021863868,0.15400608,-0.01704437,0.9879229,0.08933589,-0.19908014,-0.11974378,0.2827569
-0.23635033,-0.47258914,0.52712256,0.9869381,0.06965674,-0.14526232,-0.06957994,0.9975606,0.0056155133,0.14529912,0.004565179,0.98937726,0.00867191,-0.17677861,-0.10701448,0.24161017
-0.22049986,-0.47762755,0.52867025,0.98548126,0.10619292,-0.13247536,-0.108691394,0.9940061,-0.011752575,0.13043328,0.025980875,0.99111664,-0.12577483,-0.14946842,-0.03210284,0.22614858
-0.20422213,-0.4825545,0.53005546,0.98218334,0.14145747,-0.12371593,-0.14582828,0.98894215,-0.026971804,0.118532546,0.044532537,0.99195105,-0.18307033,-0.14857027,0.0073869377,0.23214146
-0.18756962,-0.48729804,0.5311003,0.97705084,0.17530268,-0.1209983,-0.18136372,0.98256284,-0.040956445,0.11170866,0.061961234,0.99180746,-0.13931563,-0.1571483,0.004717827,0.23036912
-0.17058262,-0.49178332,0.53180367,0.9704915,0.20791498,-0.12213745,-0.21583803,0.97484833,-0.055539154,0.10751807,0.080262184,0.99095803,-0.054592818,-0.1579638,-0.022328034,0.21219899
-0.15329286,-0.49593934,0.5322944,0.9631024,0.23939113,-0.12298661,-0.24911423,0.9658888,-0.0707175,0.10186224,0.0987459,0.9898855,0.006000668,-0.14362355,-0.05194734,0.18603465
-0.13572443,-0.49969855,0.5327108,0.9553167,0.2695764,-0.12123756,-0.2806014,0.9560271,-0.085294425,0.09291303,0.11550262,0.98895216,0.00010499358,-0.11746945,-0.046314225,0.16292894
-0.117896475,-0.5030036,0.53309566,0.947194,0.29794925,-0.11853219,-0.30972698,0.9458014,-0.09761665,0.0830231,0.12917452,0.9881402,-0.039541215,-0.09519533,-0.03551887,0.14919648
-0.099842116,-0.5058103,0.5334001,0.93882173,0.32423612,-0.11612364,-0.33639485,0.9355834,-0.107341155,0.07383947,0.13983761,0.9874174,-0.0682849,-0.08157314,-0.029353455,0.13978274
-0.08159576,-0.50808406,0.5335569,0.93028873,0.34839788,-0.1148118,-0.36080843,0.9255183,-0.115035325,0.06618235,0.14844114,0.9867042,-0.06718394,-0.07163824,-0.030840471,0.12917267
-0.063192464,-0.509795,0.53354084,0.9217651,0.3706315,-0.11393592,-0.38318264,0.9156596,-0.121402666,0.059330862,0.15556301,0.9860426,-0.04670009,-0.06668462,-0.042127743,0.11878322
-0.04466535,-0.5109136,0.53337634,0.91342556,0.3911957,-0.112337455,-0.40366477,0.90602964,-0.12714185,0.05204373,0.16148128,0.98550254,-0.029194862,-0.058176987,-0.04880567,0.10777658
-0.02604084,-0.51141626,0.5330975,0.90536124,0.41018414,-0.1098638,-0.4223211,0.8967696,-0.13209508,0.044339214,0.16599156,0.98512983,-0.025019437,-0.049477674,-0.05258687,0.09859653
-0.007348013,-0.51128536,0.5327246,0.89763576,0.42768455,-0.106470406,-0.4392454,0.88796484,-0.13631512,0.036242113,0.16912797,0.98492754,-0.026684493,-0.04096915,-0.05519031,0.09075919
0.011384795,-0.5105115,0.53225803,0.8902708,0.44374797,-0.10249655,-0.45455915,0.8796932,-0.13969883,0.028174445,0.17096055,0.98487496,0.26053667,-0.12843071,-0.6614662,0.39562404
0.029964492,-0.50904953,0.5319656,0.881872,0.46577436,-0.07318522,-0.47143146,0.86865366,-0.15229315,-0.0073616235,0.16880487,0.985622,0.31322694,-0.029316701,-0.2570501,0.31939575
0.04835451,-0.5068846,0.5321471,0.86906564,0.49365473,-0.032093044,-0.49185014,0.8552948,-0.16295473,-0.052994356,0.15740332,0.98611146,0.2240139,-0.041530266,0.13947456,0.19718668
0.06661231,-0.5039712,0.5327816,0.8553716,0.51752275,-0.022573754,-0.5136267,0.84165984,-0.16672204,-0.067283034,0.1542038,0.9857455,0.07196048,0.024450883,-0.025021039,0.090391904
0.08457917,-0.50040233,0.5336471,0.84289354,0.53736,-0.027833518,-0.53397226,0.8289588,-0.16643575,-0.066363074,0.15514995,0.98565936,-0.06698665,0.040452898,-0.053268112,0.0067448076
0.10216909,-0.49628764,0.5344987,0.83171874,0.5544881,-0.028051782,-0.5511538,0.8185199,-0.16203353,-0.06688472,0.15022716,0.9863865,-0.13820645,0.03023845,0.002193749,-0.02016485
0.11941136,-0.4916477,0.53515315,0.8227377,0.5677456,-0.027705098,-0.5645227,0.8104252,-0.15660432,-0.066458516,0.14448443,0.98727274,-0.14283487,0.027454808,0.023403764,-0.0067699496
0.13633022,-0.4864971,0.53552955,0.8159549,0.5773305,-0.030115884,-0.5746394,0.8042435,-0.1515981,-0.063301705,0.14100298,0.98798335,-0.091290444,0.037677556,0.020712093,0.01778044
0.15293308,-0.4808529,0.5356566,0.8106633,0.58454126,-0.03371309,-0.5825698,0.799485,-0.14641078,-0.05863002,0.13833007,0.98864925,-0.020585358,0.05025521,0.01929316,0.028298153
0.16923128,-0.47472024,0.53564155,0.8062883,0.5903421,-0.037354752,-0.5891488,0.7957976,-0.14003514,-0.05294181,0.1349162,0.98944163,0.02551362,0.06316121,0.014631018,0.026889412
0.18524107,-0.46810243,0.53559667,0.80257785,0.5951634,-0.040611614,-0.5947414,0.79299855,-0.13204521,-0.046383526,0.13012996,0.9904114,0.028002381,0.07140979,0.0023903102,0.01998893
0.20098062,-0.4610148,0.5355761,0.799437,0.59923476,-0.04264105,-0.59942174,0.79094005,-0.12291243,-0.03992688,0.123820715,0.99150103,-0.0018686354,0.07332623,0.00011380017,0.013611531
0.21647897,-0.45348477,0.5355585,0.7968748,0.6025563,-0.04377661,-0.6032136,0.78953487,-0.11299528,-0.03352286,0.11644974,0.99263066,-0.031739622,0.070999056,-3.4347177e-05,0.012409648
0.23176353,-0.44554365,0.535493,0.7948527,0.6051822,-0.044315048,-0.6061796,0.7886082,-0.10316722,-0.027487747,0.10886561,0.99367636,-0.040881485,0.06744757,0.00039076805,0.012705727
0.24686185,-0.4372237,0.5353458,0.79328334,0.6072112,-0.044677813,-0.60846615,0.7880286,-0.093700714,-0.021688728,0.10151616,0.99459743,-0.032824934,0.06503014,0.0048641413,0.014251752
0.26180014,-0.4285534,0.5351178,0.7920713,0.6087468,-0.045280706,-0.6102241,0.7877045,-0.08454619,-0.015799407,0.094597995,0.9953902,-0.018073171,0.063829765,-0.0017967522,0.014925068
0.27659833,-0.41956037,0.5348352,0.7911176,0.6099641,-0.04557249,-0.6115768,0.7875469,-0.075787865,-0.010337398,0.08782819,0.996082,-0.012974948,0.060703337,-0.0017332584,0.012861459
0.2912796,-0.4102714,0.5345193,0.7903814,0.61091006,-0.04567463,-0.6125939,0.7875337,-0.06722627,-0.0050989003,0.08111439,0.99669176,-0.016145974,0.05692228,-0.00445877,0.012230834
0.3058626,-0.40071264,0.5341765,0.78983855,0.6116302,-0.045426,-0.6133147,0.78761846,-0.059180003,-0.00041792367,0.07460308,0.99721324,-0.022417635,0.051314607,-0.006981343,0.011190167
