pos_x,pos_y,pos_z,orn1_x,orn1_y,orn1_z,orn2_x,orn2_y,orn2_z,orn3_x,orn3_y,orn3_z,action1,action2,action3,action4
-0.5188019,-0.6088753,0.5212407,0.99200696,0.114525154,0.052973874,-0.106902376,0.9858177,-0.12936598,-0.06703824,0.12266891,0.9901809,1.3477752,0.1628429,1.0834095,0.10384515
-0.5188699,-0.6085391,0.5219646,0.9935573,0.11183589,0.018348644,-0.10884947,0.9867568,-0.120261475,-0.031555194,0.11748942,0.99257267,1.2581438,0.21267086,1.2039194,0.043302566
-0.5189242,-0.607548,0.52460456,0.99227494,0.10617898,-0.064159505,-0.11224757,0.98865044,-0.09985358,0.052828975,0.106283955,0.9929314,0.8293736,0.271017,1.239332,-0.05330549
-0.5185106,-0.60591626,0.52934295,0.98004055,0.09863245,-0.17260394,-0.11328333,0.9905608,-0.07717565,0.16336268,0.09518842,0.9819632,0.20958947,0.43534526,1.0455792,-0.1481013
-0.51709425,-0.60381407,0.5355044,0.9527996,0.0882247,-0.2904984,-0.10489899,0.9935827,-0.042303786,0.28490195,0.07078002,0.9559399,-0.37870118,0.49509427,0.3887245,-0.1014514
-0.5145118,-0.6014922,0.54179394,0.92261285,0.07945276,-0.37745565,-0.08372907,0.9964756,0.0050952043,0.37653017,0.026903111,0.92601365,-0.4630936,0.38631442,0.08028336,0.06854928
-0.5107816,-0.5991381,0.54736376,0.9051163,0.0759238,-0.41833007,-0.058933683,0.99683225,0.053406294,0.42105973,-0.023685176,0.9067236,-0.40724406,0.21748203,-0.07920517,0.1467898
-0.50578046,-0.59688324,0.5520928,0.9005568,0.077179536,-0.42783263,-0.0405882,0.9947433,0.094013035,0.43283948,-0.06729913,0.8989554,-0.3510259,0.06430778,-0.2757067,0.1537703
-0.49942517,-0.5948356,0.5560296,0.90664786,0.081170574,-0.41400605,-0.034018457,0.99218714,0.12003119,0.42051446,-0.09474218,0.90232563,-0.3348151,-0.05478628,-0.43726492,0.13706896
-0.4917346,-0.59308314,0.55923426,0.922114,0.085628,-0.37732425,-0.03842736,0.9906501,0.13090329,0.38500533,-0.106208175,0.9167828,-0.3461494,-0.10293341,-0.45046985,0.13117495
-0.48277885,-0.591679,0.56176424,0.94043165,0.09073393,-0.32765177,-0.050225224,0.99023324,0.13005993,0.33625254,-0.10585608,0.9358038,-0.34342632,-0.09096521,-0.3007517,0.1455427
-0.47265327,-0.59064996,0.5637258,0.9549333,0.09834471,-0.28005478,-0.06570108,0.99014544,0.123673744,0.28945765,-0.09970028,0.9519843,-0.3267236,-0.059376284,-0.14388236,0.18693821
-0.46146274,-0.58999985,0.5652602,0.96274894,0.11024498,-0.24690183,-0.083281115,0.9896176,0.11713794,0.25725225,-0.09221217,0.9619346,-0.30919752,-0.044870496,-0.06788339,0.22248644
-0.44932717,-0.5897132,0.5664615,0.9654846,0.12674537,-0.22754148,-0.10320044,0.9882673,0.11259429,0.2391426,-0.085225664,0.967237,-0.277275,-0.05944377,-0.08213447,0.24383274
-0.4363507,-0.58976513,0.56737983,0.965857,0.1470415,-0.2133049,-0.1259727,0.98599595,0.10928351,0.226387,-0.07868165,0.97085434,-0.26008007,-0.09532967,-0.11716603,0.24212185
-0.42260486,-0.59012216,0.56804466,0.96534115,0.17005552,-0.19798383,-0.15175442,0.98289835,0.10431409,0.21233717,-0.07065376,0.9746389,-0.26151058,-0.12504293,-0.13475837,0.22428814
-0.40814847,-0.5907455,0.56846654,0.9642065,0.19467065,-0.18002531,-0.17976457,0.97902757,0.09586291,0.19491144,-0.060069468,0.97897965,-0.26128754,-0.1399703,-0.12894715,0.20729963
-0.39303964,-0.5915941,0.56866133,0.9621485,0.22001602,-0.1608207,-0.20872755,0.9743411,0.084216416,0.17522314,-0.047460992,0.98338413,-0.2569866,-0.14409119,-0.09829192,0.19303867
-0.37733495,-0.59261775,0.5686625,0.9586278,0.2455701,-0.14397252,-0.23763739,0.9688144,0.07019413,0.15672022,-0.033076793,0.987089,-0.2470198,-0.14700344,-0.0732808,0.18448195
-0.36109895,-0.593764,0.5685096,0.9537475,0.27089706,-0.13030906,-0.26585484,0.96244377,0.054983158,0.14030991,-0.017796759,0.9899477,-0.2317507,-0.14968899,-0.063495696,0.17859367
-0.34439453,-0.5949739,0.5682407,0.9477817,0.29573944,-0.1193655,-0.2931801,0.9552669,0.03886691,0.12552038,-0.0018417592,0.99208933,-0.22467306,-0.14551505,-0.051388398,0.16787237
-0.32727867,-0.5961862,0.5678894,0.94097203,0.31985384,-0.11074821,-0.31941253,0.9473559,0.022187047,0.112014584,0.014496976,0.9936008,-0.2212238,-0.1370157,-0.045826867,0.1571236
