pos_x,pos_y,pos_z,orn1_x,orn1_y,orn1_z,orn2_x,orn2_y,orn2_z,orn3_x,orn3_y,orn3_z,action1,action2,action3,action4
-0.38934624,-0.20921695,0.7464863,0.7558811,0.43105876,-0.49278006,-0.2845095,0.89415467,0.34574825,0.5896594,-0.12114392,0.79851484,0.08822423,0.4551231,-0.8515598,-0.37162054
-0.3876494,-0.2096251,0.74654365,0.7793393,0.421327,-0.46380356,-0.26583457,0.89259213,0.3641581,0.5674171,-0.16050771,0.8076355,0.16018146,0.2634821,-0.5518006,-0.27155295
-0.38317382,-0.21089303,0.74659467,0.82022005,0.39681756,-0.4120375,-0.23400816,0.8900103,0.3913079,0.5219954,-0.22453846,0.82286286,0.013022274,0.08813806,-0.54049504,-0.38105056
-0.3764263,-0.21317324,0.7462911,0.859125,0.36195728,-0.3617888,-0.20604572,0.89175665,0.4028836,0.4684542,-0.27158234,0.8407102,-0.19147697,-0.12211687,-0.6439359,-0.35621086
-0.3678372,-0.21653956,0.7453971,0.8972049,0.31691924,-0.30754772,-0.1834763,0.9009723,0.39317346,0.4016962,-0.29632944,0.8665039,-0.33607152,-0.33093283,-0.6834927,-0.21581014
-0.35787997,-0.22093414,0.74366105,0.9317683,0.26647386,-0.2465756,-0.16686982,0.9175194,0.36098838,0.32243186,-0.29521152,0.89938194,-0.26378146,-0.44658265,-0.62789375,-0.04163611
-0.3468966,-0.22630827,0.74115527,0.95865,0.21878117,-0.1820027,-0.1547338,0.93744355,0.31186044,0.23884647,-0.27080303,0.93253314,-0.16332749,-0.45962968,-0.45533198,0.08474916
-0.33513805,-0.23261516,0.7381972,0.97514385,0.1824509,-0.12572235,-0.14633353,0.95636547,0.25288665,0.16637592,-0.22820349,0.9592926,-0.18937033,-0.37988213,-0.23096533,0.13873793
-0.32283342,-0.23974562,0.7350529,0.98330426,0.16008438,-0.08651998,-0.1407452,0.97044957,0.19600639,0.11534084,-0.18055664,0.97677827,-0.25376275,-0.26630324,-0.06652238,0.13644966
-0.3101746,-0.24752332,0.73175985,0.98650837,0.14934532,-0.067061275,-0.13793866,0.97888887,0.15082963,0.08817123,-0.13954435,0.9862825,-0.27558908,-0.18086687,0.03706689,0.10307458
-0.2972689,-0.25578067,0.7282542,0.9872045,0.14603546,-0.06403841,-0.13780122,0.9833798,0.11821573,0.08023777,-0.107878536,0.99092084,-0.17945504,-0.13980673,0.06521471,0.07965095
-0.28414035,-0.2644058,0.72461355,0.9866496,0.14677301,-0.07057096,-0.13975365,0.98553854,0.095826484,0.08361514,-0.08468461,0.9928933,-0.085582286,-0.13631146,0.047285035,0.08096014
-0.27076754,-0.27331913,0.7210179,0.9855622,0.14970933,-0.079084,-0.14362156,0.9865716,0.07777771,0.089666076,-0.065296605,0.99382913,-0.097593546,-0.14326891,0.014400229,0.09584056
-0.2571253,-0.28244463,0.7175514,0.98437035,0.15431143,-0.08487053,-0.14950527,0.98691607,0.06037281,0.0930763,-0.046740614,0.99456125,-0.19319162,-0.14306495,-0.007889688,0.11786063
-0.24321042,-0.29170173,0.7141097,0.98310876,0.16073577,-0.087527886,-0.15744758,0.9865774,0.0433027,0.09331334,-0.028790211,0.9952204,-0.25610104,-0.1467425,-0.021391764,0.14066128
-0.22903794,-0.30101362,0.710529,0.98166347,0.16926704,-0.0876671,-0.16760625,0.9855104,0.02602461,0.09080195,-0.010853854,0.9958098,-0.23545071,-0.15705475,-0.029505946,0.1594855
-0.21462323,-0.310311,0.70675915,0.9798488,0.18009777,-0.08637806,-0.18007913,0.98361903,0.008072309,0.08641691,0.0076452447,0.9962297,-0.1714094,-0.15625171,-0.028061084,0.17342219
-0.19997726,-0.31952488,0.7028837,0.97748333,0.19325684,-0.0847237,-0.19478177,0.9807952,-0.010039,0.0811565,0.026315589,0.9963539,-0.120583355,-0.13809136,-0.013856664,0.18014055
-0.1851112,-0.32858258,0.69901764,0.974393,0.20854968,-0.08405565,-0.2114701,0.9770008,-0.027384056,0.0764115,0.044458088,0.9960847,-0.109042734,-0.10836935,0.0059145093,0.17906725
-0.17003536,-0.33741495,0.6952325,0.9704663,0.22551017,-0.08567532,-0.22963165,0.97238684,-0.04162985,0.07392161,0.060074136,0.995453,-0.12991694,-0.084776066,0.01632975,0.1719977
-0.15475726,-0.34596398,0.6915172,0.9657448,0.24359366,-0.0894377,-0.24880473,0.96712995,-0.052496374,0.07371009,0.072950624,0.994608,-0.16061625,-0.08024084,0.010905728,0.1655928
-0.13927995,-0.35418552,0.6878099,0.960391,0.2623949,-0.093797855,-0.2686379,0.96128017,-0.061434153,0.074046,0.08419847,0.993694,-0.18228564,-0.08590935,-0.0017814934,0.16376378
-0.12360509,-0.36204278,0.68404883,0.95453715,0.28170446,-0.09747504,-0.2889127,0.9548069,-0.06980819,0.07340456,0.09479629,0.9927867,-0.1838201,-0.09432834,-0.013714626,0.1623232
-0.10773734,-0.36949968,0.68019986,0.9482522,0.3014205,-0.09981709,-0.30952075,0.947616,-0.078872666,0.07081443,0.10568664,0.9918748,-0.16247955,-0.09284365,-0.020769104,0.1575563
-0.09168401,-0.3765152,0.6762802,0.941542,0.32135317,-0.101146944,-0.33023018,0.9397624,-0.08828672,0.06668288,0.11652743,0.9909464,-0.13577989,-0.07589707,-0.021874383,0.1469154
-0.07545478,-0.38304523,0.6723447,0.9344385,0.34118992,-0.10204933,-0.3506631,0.93151456,-0.09651931,0.062129024,0.1259763,0.99008584,-0.12853208,-0.055457316,-0.01873234,0.13058126
-0.059061497,-0.38905153,0.66842735,0.9270365,0.36049446,-0.10318412,-0.37042797,0.9231539,-0.1028104,0.05819224,0.13353129,0.98933464,-0.14645493,-0.038659643,-0.02275294,0.11015883
-0.042515848,-0.39450857,0.6645221,0.91954803,0.37890014,-0.10424047,-0.38912106,0.9149774,-0.10677659,0.05492,0.13874836,0.9888037,-0.1746592,-0.031111263,-0.03512709,0.091185205
-0.025830228,-0.39940512,0.6605808,0.9122244,0.39620122,-0.10426508,-0.40646973,0.90710276,-0.10930214,0.051273502,0.14208868,0.9885251,-0.19084331,-0.03201793,-0.047784254,0.07988183
